rank,domain
1,blogspot.com
2,wikipedia.org
3,wiktionary.org
4,wordpress.org
5,google.com
6,europa.eu
7,aif.ru
8,oclc.org
9,made-in-china.com
10,qq.com
11,nii.ac.jp
12,apple.com
13,rakuten.co.jp
14,pixnet.net
15,hh.ru
16,nih.gov
17,googlesource.com
18,exblog.jp
19,indiatimes.com
20,wikimedia.org
21,amazonaws.com
22,ox.ac.uk
23,spydus.co.uk
24,mail.ru
25,microsoft.com
26,spb.ru
27,hatenablog.com
28,airbnb.com
29,sina.com.cn
30,mit.edu
31,freepik.com
32,nasa.gov
33,wisc.edu
34,fandom.com
35,unam.mx
36,berkeley.edu
37,free.fr
38,sapo.pt
39,noaa.gov
40,web.app
41,wikisource.org
42,libsyn.com
43,alibaba.com
44,uol.com.br
45,app.link
46,oracle.com
47,mozilla.org
48,yandex.ru
49,appspot.com
50,seesaa.net
51,udn.com
52,mpg.de
53,line.me
54,yahoo.co.jp
55,stanford.edu
56,nsw.gov.au
57,rambler.ru
58,youtube.com
59,worldbank.org
60,debian.org
61,rbc.ru
62,tvp.pl
63,github.io
64,github.com
65,mynavi.jp
66,substack.com
67,adobe.com
68,duke.edu
69,workplace.com
70,admin.ch
71,ubc.ca
72,ca.gov
73,sohu.com
74,usp.br
75,af.mil
76,163.com
77,ning.com
78,wixsite.com
79,muni.cz
80,org.ru
81,illinois.edu
82,un.org
83,upenn.edu
84,cam.ac.uk
85,wikidot.com
86,cornell.edu
87,godaddy.com
88,ubuntu.com
89,tistory.com
90,cloudfront.net
91,impress.co.jp
92,cocolog-nifty.com
93,weebly.com
94,yale.edu
95,harvard.edu
96,utoronto.ca
97,atlassian.net
98,wikibooks.org
99,shein.com
100,usgs.gov
101,craigslist.org
102,ibm.com
103,wikiquote.org
104,opera.com
105,gov.ru
106,voanews.com
107,banggood.com
108,blog.jp
109,freelancer.com
110,archive.org
111,sap.com
112,ndl.go.jp
113,msk.ru
114,sakura.ne.jp
115,afternic.com
116,yahoo.com
117,usda.gov
118,amazon.com
119,fedoraproject.org
120,nist.gov
121,elpais.com
122,shopify.com
123,launchpad.net
124,usu.edu
125,si.edu
