rank,domain,category,total_pairings,pass_normal,fail_normal,pass_rate_normal,pass_large,fail_large,pass_rate_large,worst_ratio,median_ratio,mean_ratio,fully_compliant_normal,fully_compliant_large
1,163.com,Other,3,2,1,66.7,2,1,66.7,2.85,21.0,14.95,No,No
2,academic.ru,Other,12,10,2,83.3,11,1,91.7,1.0,9.59,10.1,No,No
3,adelaide.edu.au,Education,1,0,1,0.0,0,1,0.0,1.0,1.0,1.0,No,No
4,admin.ch,Other,1,1,0,100.0,1,0,100.0,21.0,21.0,21.0,Yes,Yes
5,af.mil,Government,1,0,1,0.0,0,1,0.0,1.0,1.0,1.0,No,No
6,airbnb.com,Other,6,4,2,66.7,4,2,66.7,1.0,15.91,12.73,No,No
7,alberta.ca,Other,1,0,1,0.0,0,1,0.0,1.0,1.0,1.0,No,No
8,alibaba.com,E-commerce,16,11,5,68.8,12,4,75.0,1.0,5.74,8.02,No,No
9,amazonaws.com,Other,4,3,1,75.0,3,1,75.0,1.0,12.02,11.35,No,No
10,android.com,Technology,8,5,3,62.5,6,2,75.0,1.0,18.33,12.13,No,No
11,answers.com,Other,1,1,0,100.0,1,0,100.0,16.21,16.21,16.21,Yes,Yes
12,anu.edu.au,Education,2,2,0,100.0,2,0,100.0,18.05,21.0,19.52,Yes,Yes
13,apple.com,Technology,9,4,5,44.4,5,4,55.6,1.0,3.18,5.75,No,No
14,archives.gov,Government,2,1,1,50.0,1,1,50.0,1.74,5.08,3.41,No,No
15,arizona.edu,Education,10,5,5,50.0,6,4,60.0,1.0,12.63,8.87,No,No
16,art.pl,Other,39,21,18,53.8,25,14,64.1,1.0,5.25,8.22,No,No
17,as.com,News/Media,25,21,4,84.0,22,3,88.0,1.0,10.59,10.42,No,No
18,atlassian.com,Technology,68,47,21,69.1,54,14,79.4,1.0,7.88,9.18,No,No
19,azurewebsites.net,Hosting/Platform,5,1,4,20.0,1,4,20.0,1.0,1.6,5.53,No,No
20,baidu.com,Other,4,4,0,100.0,4,0,100.0,12.63,18.96,17.89,Yes,Yes
21,berkeley.edu,Education,1,1,0,100.0,1,0,100.0,12.02,12.02,12.02,Yes,Yes
22,bibliocommons.com,Other,3,1,2,33.3,2,1,66.7,1.0,3.06,7.65,No,No
23,blogspot.com,Hosting/Platform,10,8,2,80.0,9,1,90.0,1.0,7.86,8.67,No,No
24,bme.hu,Other,4,2,2,50.0,3,1,75.0,1.0,8.73,8.81,No,No
25,bplaced.net,Other,2,1,1,50.0,2,0,100.0,4.48,21.0,12.74,No,Yes
26,bsky.app,Other,3,1,2,33.3,1,2,33.3,1.0,1.24,7.75,No,No
27,buzzsprout.com,Other,1,1,0,100.0,1,0,100.0,17.62,17.62,17.62,Yes,Yes
28,byu.edu,Education,7,3,4,42.9,3,4,42.9,1.0,2.63,8.32,No,No
29,cancer.gov,Government,2,1,1,50.0,1,1,50.0,1.0,17.22,9.11,No,No
30,cbsnews.com,News/Media,5,2,3,40.0,3,2,60.0,1.0,3.01,3.22,No,No
31,cern.ch,Research,18,13,5,72.2,13,5,72.2,1.0,11.53,10.11,No,No
32,chinaz.com,Other,4,1,3,25.0,2,2,50.0,2.66,4.0,3.82,No,No
33,cointelegraph.com,Other,141,69,72,48.9,93,48,66.0,1.0,4.38,7.46,No,No
34,copernicus.org,Other,1,0,1,0.0,1,0,100.0,4.13,4.13,4.13,No,Yes
35,cornell.edu,Education,11,4,7,36.4,5,6,45.5,1.0,2.56,5.65,No,No
36,craigslist.org,Other,4,4,0,100.0,4,0,100.0,5.85,13.08,12.33,Yes,Yes
37,culture.gouv.fr,Government,1,1,0,100.0,1,0,100.0,18.04,18.04,18.04,Yes,Yes
38,cuny.edu,Education,18,10,8,55.6,10,8,55.6,1.0,7.73,8.14,No,No
39,desktopnexus.com,Other,6,6,0,100.0,6,0,100.0,5.06,5.91,8.44,Yes,Yes
40,dict.cc,Other,8,5,3,62.5,5,3,62.5,1.0,5.74,8.41,No,No
41,dmm.com,Other,1,1,0,100.0,1,0,100.0,7.21,7.21,7.21,Yes,Yes
42,docomo.ne.jp,Other,4,3,1,75.0,4,0,100.0,3.62,12.63,10.46,No,Yes
43,duke.edu,Education,33,22,11,66.7,28,5,84.8,1.0,6.03,9.52,No,No
44,educations.com,Other,15,13,2,86.7,14,1,93.3,2.09,9.45,10.79,No,No
45,elespanol.com,Other,35,23,12,65.7,26,9,74.3,1.0,8.58,8.91,No,No
46,elpais.com,News/Media,44,35,9,79.5,36,8,81.8,1.0,8.5,9.61,No,No
47,entrepreneur.com,Other,4,3,1,75.0,4,0,100.0,3.24,13.08,11.61,No,Yes
48,err.ee,News/Media,5,4,1,80.0,5,0,100.0,3.08,6.13,5.99,No,Yes
49,espn.com,News/Media,7,2,5,28.6,5,2,71.4,1.0,4.45,4.9,No,No
50,europa.eu,EU Institutions,3,2,1,66.7,2,1,66.7,1.0,19.26,13.75,No,No
51,excite.co.jp,Other,75,35,40,46.7,42,33,56.0,1.0,3.95,7.1,No,No
52,expansion.mx,Other,24,13,11,54.2,19,5,79.2,1.0,4.79,7.74,No,No
53,fandom.com,Other,8,4,4,50.0,4,4,50.0,1.14,5.21,7.61,No,No
54,fau.de,Other,16,13,3,81.2,13,3,81.2,1.0,13.53,11.4,No,No
55,foursquare.com,Other,63,41,22,65.1,45,18,71.4,1.0,11.22,9.67,No,No
56,freelancer.com,Other,96,52,44,54.2,71,25,74.0,1.0,4.53,6.6,No,No
57,freepik.com,Other,9,3,6,33.3,6,3,66.7,1.08,4.32,4.91,No,No
58,fu-berlin.de,Other,4,4,0,100.0,4,0,100.0,5.96,10.39,11.21,Yes,Yes
59,gamer.com.tw,Other,1,0,1,0.0,0,1,0.0,1.0,1.0,1.0,No,No
60,gatech.edu,Education,15,9,6,60.0,10,5,66.7,1.0,13.46,10.83,No,No
61,github.io,Technology,1,0,1,0.0,1,0,100.0,4.02,4.02,4.02,No,Yes
62,globalvoices.org,Other,3,1,2,33.3,1,2,33.3,1.0,1.66,7.59,No,No
63,globo.com,Other,16,12,4,75.0,12,4,75.0,1.0,6.4,8.87,No,No
64,gnome.org,Other,1,1,0,100.0,1,0,100.0,4.62,4.62,4.62,Yes,Yes
65,google.cn,Other,2,2,0,100.0,2,0,100.0,4.54,21.0,12.77,Yes,Yes
66,google.com,Technology,25,17,8,68.0,18,7,72.0,1.0,6.32,9.16,No,No
67,gov.sk,Other,2,2,0,100.0,2,0,100.0,11.53,17.71,14.62,Yes,Yes
68,gutenberg.org,Other,2,2,0,100.0,2,0,100.0,12.63,21.0,16.82,Yes,Yes
69,harvard.edu,Education,2,1,1,50.0,1,1,50.0,2.81,12.02,7.42,No,No
70,hateblo.jp,Hosting/Platform,11,3,8,27.3,6,5,54.5,1.51,3.12,5.96,No,No
71,hatenablog.com,Hosting/Platform,6,6,0,100.0,6,0,100.0,4.98,16.1,13.14,Yes,Yes
72,hindustantimes.com,News/Media,129,79,50,61.2,100,29,77.5,1.0,6.08,8.67,No,No
73,hotels.com,Other,2,2,0,100.0,2,0,100.0,20.12,21.0,20.56,Yes,Yes
